k,group,method,users,mse,mae,pair_accuracy,pair_users,unique_movies,unique_rating_pairs,round_rating_instances
5,ITEM_SUPPORTED,ALS_FM,297,0.8831324613324045,0.7206022948238742,0.6014448132924112,280,5326,23249,36694
5,ITEM_SUPPORTED,FM,297,0.9104582898215228,0.7225020790050227,0.5918601638473805,280,5326,23249,36694
5,ITEM_SUPPORTED,GBT,297,0.8938985198056997,0.7135822885873244,0.5795177694768404,280,5326,23249,36694
5,ITEM_SUPPORTED,RIDGE,297,0.972645219976727,0.753910691134153,0.5889477449053481,280,5326,23249,36694
5,NO_PRE_OBSERVATIONS,ALS,244,0.9077588015951966,0.7193520437022818,0.5,211,3083,9661,17007
5,NO_PRE_OBSERVATIONS,ALS_FM,244,0.9620206732268498,0.7736964651962803,0.593183513297757,211,3083,9661,17007
5,NO_PRE_OBSERVATIONS,FM,244,0.9620206732268498,0.7736964651962803,0.593183513297757,211,3083,9661,17007
5,NO_PRE_OBSERVATIONS,GBT,244,0.9370235904436047,0.7336404980873685,0.5608891603858427,211,3083,9661,17007
5,NO_PRE_OBSERVATIONS,RIDGE,244,1.0081716439422976,0.7703759014445947,0.5764408888040026,211,3083,9661,17007
5,OTHER_UNSUPPORTED,ALS,275,0.9331288540139248,0.7393758734635308,0.5,238,7539,17115,28798
5,OTHER_UNSUPPORTED,ALS_FM,275,1.006027082942368,0.7883846226651425,0.5709502528304256,238,7539,17115,28798
5,OTHER_UNSUPPORTED,FM,275,1.006027082942368,0.7883846226651425,0.5709502528304256,238,7539,17115,28798
5,OTHER_UNSUPPORTED,GBT,275,0.9701082747829582,0.7582681058959347,0.5437930926185119,238,7539,17115,28798
5,OTHER_UNSUPPORTED,RIDGE,275,1.0348541066909185,0.7913259122243744,0.5732810405246185,238,7539,17115,28798
5,SAMPLE_UNSUPPORTED,ALS,252,0.96147461488203,0.738997438821761,0.5,198,4456,7454,11791
5,SAMPLE_UNSUPPORTED,ALS_FM,252,1.0729967206758733,0.8002732434961787,0.5443547359947581,198,4456,7454,11791
5,SAMPLE_UNSUPPORTED,FM,252,1.0729967206758733,0.8002732434961787,0.5443547359947581,198,4456,7454,11791
5,SAMPLE_UNSUPPORTED,GBT,252,1.0088205863358424,0.765221597087165,0.5194906101843138,198,4456,7454,11791
5,SAMPLE_UNSUPPORTED,RIDGE,252,1.0786016738546502,0.7978293102017191,0.5415189934889953,198,4456,7454,11791
5,TRAIN_0,ALS,294,0.9008231564967132,0.7186082815329433,0.5,277,10431,26862,45401
5,TRAIN_0,ALS_FM,294,0.9905761752860673,0.7749375710495368,0.5607988105850774,277,10431,26862,45401
5,TRAIN_0,FM,294,0.9905761752860673,0.7749375710495368,0.5607988105850774,277,10431,26862,45401
5,TRAIN_0,GBT,294,0.932452108364887,0.7321433771870558,0.5628918156738274,277,10431,26862,45401
5,TRAIN_0,RIDGE,294,1.009011912328332,0.7711744034970658,0.5670259653828482,277,10431,26862,45401
5,TRAIN_10_49,ALS,271,1.2914039022511878,0.8832473530038489,0.6258880918781142,244,1486,7395,11108
5,TRAIN_10_49,ALS_FM,271,0.8609465162386801,0.7039710388271843,0.6268117029519206,244,1486,7395,11108
5,TRAIN_10_49,FM,271,0.9116394204814742,0.7211294236731489,0.602597441977476,244,1486,7395,11108
